original,cleaned
access to info,access to info
access to info,access to info
access to info,access to info
access to info,access to info
access to info,access to info
access to info,access to info
access to info,access to info
access to info,access to info
access to info,access to info
access to info,access to info
access to info,access to info
access to info,access to info
access to info,access to info
access to info,access to info
access to info,access to info
access to info,access to info
access to info,access to info
"access to info, checking knowledge/grammar",access to info checking knowledgegrammar
"access to info, checking knowledge/grammar",access to info checking knowledgegrammar
"access to info, checking knowledge/grammar",access to info checking knowledgegrammar
access to ino,access to ino
checking knowledge/grammar,checking knowledgegrammar
speeds up work,speed up work
speeds up work ,speed up work
starting point,starting point
writing support ,writing support
access to info,access to info
access to info,access to info
access to info,access to info
access to info,access to info
"access to info, checking knowledge/grammar",access to info checking knowledgegrammar
"access to info, checking knowledge/grammar",access to info checking knowledgegrammar
"access to info, checking knowledge/grammar",access to info checking knowledgegrammar
"access to info, checking knowledge/grammar",access to info checking knowledgegrammar
"access to info, starting point",access to info starting point
acess to info,acess to info
"checks knowledge/grammar, starting point, speeds up work, access to info",check knowledgegrammar starting point speed up work access to info
"access to info, checking knowledge/grammar",access to info checking knowledgegrammar
access to info,access to info
"checking knowledge/grammar, reducing teaching load",checking knowledgegrammar reducing teaching load
"acess to info, writing support, speeds up work",acess to info writing support speed up work
"access to info, checking knowledge/grammar",access to info checking knowledgegrammar
"access to info, checking knowledge/grammar",access to info checking knowledgegrammar
"access to info, checking knowledge/grammar",access to info checking knowledgegrammar
"access to info, checking knowledge/grammar",access to info checking knowledgegrammar
"access to info, checking knowledge/grammar, personalized answer",access to info checking knowledgegrammar personalized answer
"access to info, personalized answer",access to info personalized answer
"personalized answer, access to info, speeds up work",personalized answer access to info speed up work
access to info,access to info
access to info,access to info
access to info,access to info
access to info,access to info
access to info,access to info
"access to info, speeds up work",access to info speed up work
"access to info, speeds up work",access to info speed up work
"access to info, speeds up work",access to info speed up work
"access to info, speeds up work",access to info speed up work
"access to info, speeds up work",access to info speed up work
"access to info, speeds up work",access to info speed up work
"access to info, starting point",access to info starting point
"speeds up work, starting point, access to info, checking knowledge/grammar",speed up work starting point access to info checking knowledgegrammar
"access to info, starting point ",access to info starting point
access to info,access to info
"access to info, checking knowledge/grammar",access to info checking knowledgegrammar
access to info,access to info
access to info,access to info
access to info ,access to info
access to info ,access to info
"access to info, reducing teaching load, speeds up work",access to info reducing teaching load speed up work
access to info ,access to info
access to info,access to info
access to info,access to info
"access to info, personalized answer",access to info personalized answer
"personalized answer, access to info, speeds up work",personalized answer access to info speed up work
"access to info, checking knowledge/grammar",access to info checking knowledgegrammar
access to info,access to info
access to info,access to info
access to info,access to info
access to info,access to info
access to info,access to info
access to info,access to info
access to info,access to info
access to info,access to info
"access to info, checking knowledge/grammar",access to info checking knowledgegrammar
"access to info, checking knowledge/grammar",access to info checking knowledgegrammar
"access to info, checking knowledge/grammar",access to info checking knowledgegrammar
"access to info, checking knowledge/grammar",access to info checking knowledgegrammar
"access to info, checking knowledge/grammar",access to info checking knowledgegrammar
"access to info, checking knowledge/grammar",access to info checking knowledgegrammar
"access to info, checking knowledge/grammar",access to info checking knowledgegrammar
"access to info, personalized answer",access to info personalized answer
"access to info, speeds up work",access to info speed up work
checking knowledge/grammar,checking knowledgegrammar
checking knowledge/grammar,checking knowledgegrammar
checking knowledge/grammar,checking knowledgegrammar
checking knowledge/grammar,checking knowledgegrammar
checking knowledge/grammar,checking knowledgegrammar
checking knowledge/grammar,checking knowledgegrammar
checking knowledge/grammar,checking knowledgegrammar
"checking knowledge/grammar, personalized answer",checking knowledgegrammar personalized answer
personalized answer,personalized answer
"access to info, checking knowledge/grammar",access to info checking knowledgegrammar
"speeds up work, checks knowledge/grammar, access to info",speed up work check knowledgegrammar access to info
speeds up work,speed up work
access to info ,access to info
"access to info, checking knowledge/grammar",access to info checking knowledgegrammar
"access to info, checking knowledge/grammar",access to info checking knowledgegrammar
checking knowledge/grammar,checking knowledgegrammar
checking knowledge/grammar,checking knowledgegrammar
checks knowledge/grammar,check knowledgegrammar
"personalized answer, access to info, speeds up work",personalized answer access to info speed up work
"personalized answer, reducing teaching load",personalized answer reducing teaching load
"personalized answer, access to info",personalized answer access to info
"starting point, checking knowledge/grammar",starting point checking knowledgegrammar
"starting point, checking knowledge/grammar",starting point checking knowledgegrammar
checking knowledge/grammar,checking knowledgegrammar
checking knowledge/grammar,checking knowledgegrammar
access to info,access to info
access to info,access to info
access to info,access to info
access to info,access to info
access to info ,access to info
"access to info, checking knowledge/grammar",access to info checking knowledgegrammar
"access to info, checking knowledge/grammar",access to info checking knowledgegrammar
"access to info, checking knowledge/grammar",access to info checking knowledgegrammar
"access to info, checking knowledge/grammar",access to info checking knowledgegrammar
"access to info, checking knowledge/grammar",access to info checking knowledgegrammar
"access to info, checking knowledge/grammar",access to info checking knowledgegrammar
"access to info, checking knowledge/grammar",access to info checking knowledgegrammar
"access to info, personalized answer",access to info personalized answer
checking knowledge/grammar,checking knowledgegrammar
checking knowledge/grammar,checking knowledgegrammar
checking knowledge/grammar,checking knowledgegrammar
checking knowledge/grammar,checking knowledgegrammar
checking knowledge/grammar,checking knowledgegrammar
checking knowledge/grammar,checking knowledgegrammar
checking knowledge/grammar,checking knowledgegrammar
checks knoweldge/grammar,check knoweldgegrammar
reducing teaching load,reducing teaching load
starting point,starting point
other,other
other,other
other,other
other,other
other,other
other,other
other,other
"speeds up work, personalized answer, reducing teaching load ",speed up work personalized answer reducing teaching load
"access to info, checking knowledge/grammar",access to info checking knowledgegrammar
"speeds up work, reducing teaching load, access to info",speed up work reducing teaching load access to info
access to info,access to info
"access to info, reducing teaching load",access to info reducing teaching load
"speeds up work, access to info, checks knowledge/grammar",speed up work access to info check knowledgegrammar
access to info,access to info
no benefit,no benefit
no benefit,no benefit
no benefit,no benefit
no benefit,no benefit
no benefit,no benefit
no benefit,no benefit
no benefit,no benefit
no benefit,no benefit
no benefit,no benefit
no benefit,no benefit
no benefit,no benefit
no benefit,no benefit
no benefit,no benefit
no benefit,no benefit
no benefit,no benefit
no benefit,no benefit
no benefit,no benefit
no benefit,no benefit
no benefit,no benefit
no benefit ,no benefit
no benefit ,no benefit
no benefit ,no benefit
"access to info, personalized answer",access to info personalized answer
"personalized answer, access to info ",personalized answer access to info
"speeds up work, access to info ",speed up work access to info
personalized answer,personalized answer
personalized answer,personalized answer
personalized answer,personalized answer
personalized answer,personalized answer
personalized answer,personalized answer
personalized answer ,personalized answer
pesonalized answer,pesonalized answer
"reducing teaching load, checking knowledge/grammar",reducing teaching load checking knowledgegrammar
speeds up work,speed up work
speeds up work,speed up work
speeds up work,speed up work
speeds up work,speed up work
speeds up work,speed up work
speeds up work,speed up work
speeds up work,speed up work
speeds up work,speed up work
speeds up work,speed up work
speeds up work,speed up work
speeds up work,speed up work
speeds up work,speed up work
speeds up work,speed up work
speeds up work,speed up work
speeds up work,speed up work
speeds up work ,speed up work
speeds up work ,speed up work
"speeds up work, access to info",speed up work access to info
"speeds up work, access to info",speed up work access to info
"speeds up work, access to info ",speed up work access to info
"speeds up work, access to info ",speed up work access to info
speeds up work,speed up work
starting point,starting point
"reducing teaching load, speeds up work",reducing teaching load speed up work
"reducing teaching load, speeds up work, checking knowledge/grammar",reducing teaching load speed up work checking knowledgegrammar
speeds up work,speed up work
speeds up work,speed up work
"speeds up work, reducing teaching load, access to info",speed up work reducing teaching load access to info
"speeds up work, starting point",speed up work starting point
"speeds up work, starting point ",speed up work starting point
starting point,starting point
starting point,starting point
starting point,starting point
starting point,starting point
starting point,starting point
starting point ,starting point
starting point ,starting point
starting point ,starting point
starting point ,starting point
starting point ,starting point
starting point ,starting point
"starting point, access to info",starting point access to info
"starting point, reducing teaching load",starting point reducing teaching load
access to info,access to info
starting point ,starting point
"starting point, access to ino",starting point access to ino
"starting point, checking knowledge/grammar, access to info",starting point checking knowledgegrammar access to info
"starting point, speeds up work",starting point speed up work
"starting point, speeds up work, checks knowledge/grammar, access to info",starting point speed up work check knowledgegrammar access to info
"starting point, checks knowledge/grammar",starting point check knowledgegrammar
"starting point, access to info",starting point access to info
"starting point, checking knowledge/grammar",starting point checking knowledgegrammar
"reducing teaching load, starting point, checking knowledge/grammar",reducing teaching load starting point checking knowledgegrammar
starting point ,starting point
starting point ,starting point
"starting point, checking knowedge/grammar",starting point checking knowedgegrammar
"starting point, checking knowedge/grammar",starting point checking knowedgegrammar
"starting point, writing support",starting point writing support
"starting point, writing support ",starting point writing support
checking knowledge/grammar,checking knowledgegrammar
checking knowledge/grammar,checking knowledgegrammar
writing support,writing support
writing support,writing support
writing support,writing support
writing support,writing support
writing support ,writing support
"writing support, speeds up work, reducing teaching load ",writing support speed up work reducing teaching load
"checking knowledge/grammar, access to info, starting point",checking knowledgegrammar access to info starting point
