Class 2,Class 3,Class 6,Class 7,Class 9,Class 13,Class 14,Class 15,Class 17,Class 20,Class 21,Class 23,Class 24,Class 25,Class 27,Class 28,Class 30,Class 31,Class 32,Class 33,Class 34,Class 35,Class 39,Class 40,Class 41,Class 42,Class 44,Class 46,Class 47,Class 48,Class 49,Class 50,Class 52,Class 53,Class 54,Class 55,Class 59,Class 60,Class 69,Class 72,Class 73,Class 77,Class 79,Class 81,Class 83,Class 84,Class 86,Class 88,Class 89,Class 90,Class 93,Class 94,Class 95,Class 96,Class 97,Class 101,Class 102,Class 105,Class 109,Class 116,Class 118,Class 120,Class 122,Class 123,Class 125,Class 126,Class 128,Class 129,Class 136,Class 139,Class 140,Class 141,Class 144,Class 145,Class 146,Class 148,Class 149,Class 151,Class 153,Class 155,Class 165,Class 176,Class 177,Class 178,Class 190,Class 191,Class 194,Class 195,Class 199,Class 202,Class 212,Class 215,Class 218,Class 221,Class 222,Class 226,Class 227,Class 228,Class 229,Class 230,Class 231,Class 232,Class 240,Class 242,Class 244,Class 246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes ,,,,,,,Access and Availability are two key benefits.   These systems can operate and be accessible around the clock and at any location that is accessible to the web (including a portable smart device),,,,,Greatly increases learning comprehension and reduces time spent trying to find important information,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AI chatbots can describe and potentially assist with learning similarly to a human teacher, but with an amount of time and attention that a human teacher may not be able to offer.",,,,,,,Expansion info,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,Immediate and concise answers.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Translations/language support, personalized learning from special education to gifted, scalability, instant feedback",,,,,,,It can give quick summaries of important topics. ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Personalized answer. ,,,,,,,Chatbots are great for summarizing material. ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chatbots can pull and create all kinds of different examples that will allow students to have personalized explanations that best fit their style of learning,,,,,,,"Providing instant feedback for questions about certain concepts, theorems, or models and possibly referring students to information/websites that have more credibility. ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability to customize learning,,,,,,,"If used correctly, could be a great learning resource. If you ask an AI chatbot for assistance in maybe defining a term then it can be a useful tool. ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adaptation to individual learning styles,,,,,,,it can be used as a way to find sources/articles for research discussions,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saving time on time tasks.,,,,,,,It can give you sources to expand your knowledge. It can teach you things you are struggling with.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI use in educational settings can allow for extensive research and learning to occur in an efficient manner. ,,,,,,,Consise advanced research. Clarification and elaboration.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Increased productivity and more effective learning and researching for the students, more efficient generation of high quality teaching materials for the teachers.",,,,,,,"They can be a great source for asking questions in specific topics as long as the user verifies the responses and has a general understanding of what they are doing before referring to the AI chatbot. I find it helpful to work through certain steps in problems that are specific to a topic that I canâ€™t just look up. In higher level courses, it can be difficult to find resources online for such specific problems and tutors/office hours donâ€™t always suffice for the amount of time the support takes. I find AI can be helpful it in explaining why and or how to take certain steps to achieve and answer. Even if it is wrong, it can usually give you some sort of boost towards the correct answer or at least explain the problem well.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Can provide learning opportunities and idea building,,,,,,,"AI can explain how to do certain questions, how to approach them, or tell you the general information. It can also give examples which may assist the student in preparing.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Increased creativity and productivity. Decrease in â€œwriters blockâ€_x009d_ or lack of ideas ,,,,,,,"Foreign language practice, example problems for studying",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chatbots can be used as a fast and somewhat reliable method of gaining a summary or can be used as a method for studying ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quick info on thigns when questions are asked,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Itâ€™s a way to get questions answered without doing long research ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rapid responses, virtually unlimited follow up",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No scrounging on google to find a good explanation for a question you are googling, you get a direct response to your niche question. Facilitates quick ability to solve problems.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AI chatbots in educational settings can often assist with often mundane tasks, such as certain problem solving.  Additionally, it can serve as a formatting tool, such as providing a rough outline for people to then build upon with their original work.  Finally, it could be used to find sources, or certain facts and pertinent details, which would have to be verified for accuracy.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"It can lead you to new resources, websites, give you either more in-depth background knowledge, it eliminates the website scams or bias, and can be a rough draft.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gives quick answers for simple questions and can come up with ideas ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AI Chatbots could be used to search for obscure answers that don't normally show up on google searches in some instances. It can also be a beneficial tool in coding, as that is one of the fields it can perform rather accurately in.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/7 assistance (for internally & specially trained chatbots only),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accessibility ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aiding students with assignments outside of office hours, such as over the weekends. ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Students can ask questions that are more in-depth than class time will allow.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/7 teacher for menial questions,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a low cost or potentially free tutor for students that is available 24/7 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"in depth teaching, free (for the most part), infinite amounts of practice problems, and the ability to show more advanced topics that may be hard to find on the internet. ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simplifying material,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It gives a great explanation,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I believe they can be very beneficial as they can give explanations and examples tp most assignments a student may be having a hard time on.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI chatbots can be very useful at providing explanations for different topics that may be difficult to grasp from the materials provided by the professor.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI is amazing for solidifying topics that a teacher may not have covered well during class.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,helping tutor students ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"aThey are helpful when learning new skills. Lots of professors are not good at providing step by step instructions, AI is helpful.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expanded definitions or explinations of topics ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quick tutoring opportunities ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"chatbots can give insight on many things, such as explaining a mathematical process or rephrasing a statement in a way that makes it easier for a user to understand.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Potentially, quicker answers to difficult questions. A chat bot could also provide step by step walk throughs for challenging problems.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"it simplifies lessons, readings, and is easier and faster to use when it comes to research ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I don't use chatbots, but Xronos (the CLAS math homework program) sucks and I often don't understand why (or if I really did) get a homework question wrong. I'll then Google it and websites may have AI-generated explanations; thus, I can see opportunities in the form of free tutoring programs for students who can't afford a tutor. ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I think it is useful as a learning tool if you ask the right questions. For example when you cant reach to somebody who can immediately help, AI can be useful for explaining.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It is very helpful when taking notes or if not understanding a concept it can break it down for you,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ai is great for creating study guides, practice tests, organizing notes, and even breaking complicated concepts down to barebones for better understanding.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Used to explain problems in detail, in a way that may not be easily found online. Can be a helpful tool for managing excessive homework. I believe that increased AI usage among students (as opposed to rates of cheating normally) is a symptom of excessive workload.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"If used properly, AI could act as hands on teachers. For example, when someone is learning how to code, an AI assistant could work side by side and help point out errors in the code that a human might miss.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I find them useful as a guideline. I ask it clarifying questions and I use it to learn instead of just asking it for all of the answers. ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"perspective change, walk through questions ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Grading work, explaining work in simple terms",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Detailed answers,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,They can make you smarter,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It can provide remedial assistance to students and assist in their studying efforts. ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Could potentially be used as a homework aid (for ex. coming up with practice questions and detailed explanations of questions),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Larger understanding of the topic,,,,,,,,,,,,,,,,,,,,,,,,,,
